Ticker,shortname,Sàn NY,Level1,Level2,Level3,Level4,Số CP niêm yết,Số CP lưu hành,Số CP lưu hành BQ hiện tại,Free Fload,Giá đóng cửa,Vốn hóa,KLTB 30 ngày,KLTB 30 ngày/Số CPLH,KLTB 90 ngày,KLTB 90 ngày/Số CPLH,KLTB 180 ngày,KLTB 180 ngày/Số CPLH bình quân hiện tại,GTTB 30 ngày,GTTB 90 ngày,GTTB 180 ngày,Lãi gộp/Doanh thu,LN ròng/Doanh thu,LN ròng/Doanh thu1,ROE,ROA,khả năng thanh toán ngắn hạn,Tổng công nợ/Vốn CSH,tỷ lệ dòng tền trước thuế và thu nhập/thu nhập trước lãi và thuế,EV/EBITDA,EPS,BV,P/E,P/B,updatedate
IPA,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,89098248,87294748,87294748.0,43647374,19000,,0.0,0.0,0.0,0.0,11329.583333333301,0.00012978539480214,0,0.0,215326250.0,,,,,,,,,,402.0,16281.7837533333,48.7468659275303,1.16694830786646,2020-03-26 00:00:00
IPH,Công ty Cổ phần In và Phát hành Biểu mẫu Thống kê,UpCom,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",205495,205495,99058.8911,102747,69000,,0.0,0.0,0.0,0.0,3.3333333333333304,3.36500166347343e-05,0,0.0,296666.666666666,,,,,,,,,,0.0,17336.4085437455,148.591166342645,3.9800631039520002,2020-03-26 00:00:00
IRC,Công ty Cổ phần Cao su Công nghiệp,UpCom,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",17500000,17500000,17500000.0,2955300,9700,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,0.0,10279.9312325619,10.3954102359739,0.9435860785989458,2020-03-26 00:00:00
ISG,Công ty Cổ phần Vận tải biển và Hợp tác lao động Quốc Tế,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Vận tải Thủy,8800000,8800000,8800000.0,2640000,2000,,20.0,2.2727272727272702e-06,6.666666666666661,7.57575757575757e-07,3.3333333333333304,3.7878787878787796e-07,35000,11666.666666666599,5833.33333333333,,,,,,,,,,-8741.0,,-0.228812755765415,0.0,2020-03-26 00:00:00
ISH,Công ty Cổ phần Thủy điện Srok Phu Miêng IDICO,UpCom,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,45000000,45000000,45000000.0,6750000,13815,,6505.0,0.000144555555555555,3343.3333333333303,7.42962962962963e-05,5694.166666666661,0.000126537037037037,85737000,46122500.0,77963833.3333333,,,,,,,,,,1116.3,11053.3198328,10.8833200940166,1.24985074248959,2020-03-26 00:00:00
IST,Công ty Cổ phần ICD Tân Cảng Sóng Thần,UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",12008672,12008672,12008672.0,1801301,22000,,10.75,8.951864119529621e-07,3.75,3.12274329751033e-07,2.7083333333333304,2.2553146037574602e-07,234025,81658.3333333333,62245.8333333333,,,,,,,,,,0.0,11763.936045,9.17236982812722,1.87012237365491,2020-03-26 00:00:00
ITS,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",UpCom,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp,16200000,16200000,16200000.0,5670000,3100,,8320.3,0.000513598765432098,6553.43333333333,0.00040453292181069904,4356.96666666666,0.000268948559670781,25497930,18351643.333333302,12807571.6666666,,,,,,,,,,663.0,11000.346272272,4.67645511940369,0.281809310659066,2020-03-26 00:00:00
JOS,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,UpCom,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,15322723,15043161,15043161.0,3760790,2200,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,-756.0,704.3545780994671,-2.9633147720155,3.1234268483583496,2020-03-26 00:00:00
KAC,Công ty Cổ phần Đầu tư Địa ốc Khang An,UpCom,Tài chính,Bất động sản,Bất động sản,Bất động sản,23999999,23999999,23999999.0,7200000,14700,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,56.0,10346.4302926845,262.602309199605,1.42077988099852,2020-03-26 00:00:00
KBE,Công ty Cổ phần Sách Thiết bị Trường học Kiên Giang,UpCom,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",1231060,1231060,1231060.0,800189,19900,,40.0,3.2492323688528495e-05,13.333333333333302,1.08307745628428e-05,10.0,8.123080922132139e-06,778000,259333.333333333,187000.0,,,,,,,,,,2507.0,15655.7121976183,7.93740320227649,1.2711015473973302,2020-03-26 00:00:00
